,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,getOffCarRate
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,SUN,06,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,SUN,06,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,SUN,06,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,SUN,06,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,SUN,06,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,SUN,06,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,SUN,06,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,SUN,06,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,SUN,06,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,SUN,06,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,SUN,06,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,SUN,06,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,SUN,06,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,SUN,06,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,SUN,06,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,SUN,06,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,SUN,06,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,SUN,06,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,SUN,06,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,SUN,06,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,SUN,06,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,SUN,06,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,SUN,06,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,SUN,06,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,MON,08,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,MON,08,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,MON,08,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,MON,08,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,MON,08,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,MON,08,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,MON,08,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,MON,08,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,MON,08,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,MON,08,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,MON,08,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,MON,08,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,MON,08,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,MON,08,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,MON,08,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,MON,08,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,MON,08,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,MON,08,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,MON,08,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,MON,08,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,MON,08,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,MON,08,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,MON,08,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,MON,08,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,MON,08,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,MON,08,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,MON,08,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,MON,08,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,MON,08,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,MON,08,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,FRI,06,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,FRI,06,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,FRI,06,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,FRI,06,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,FRI,06,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,FRI,06,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,FRI,06,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,FRI,06,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,FRI,06,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,FRI,06,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,FRI,06,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,FRI,06,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,FRI,06,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,FRI,06,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,FRI,06,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,FRI,06,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,FRI,06,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,FRI,06,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,FRI,06,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,FRI,06,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,FRI,06,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,FRI,06,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,FRI,06,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,FRI,06,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,FRI,06,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,FRI,06,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,FRI,06,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,FRI,06,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,FRI,06,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,FRI,06,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,SAT,17,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,SAT,17,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,SAT,17,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,SAT,17,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,SAT,17,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,SAT,17,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,SAT,17,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,SAT,17,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,SAT,17,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,SAT,17,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,SAT,17,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,SAT,17,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,SAT,17,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,SAT,17,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,SAT,17,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,SAT,17,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,SAT,17,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,SAT,17,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,SAT,17,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,SAT,17,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,SAT,17,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,SAT,17,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,SAT,17,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,SAT,17,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,SAT,17,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,SAT,17,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,SAT,17,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,SAT,17,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,SAT,17,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,SAT,17,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,TUE,09,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,TUE,09,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,TUE,09,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,TUE,09,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,TUE,09,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,TUE,09,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,TUE,09,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,TUE,09,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,TUE,09,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,TUE,09,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,TUE,09,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,TUE,09,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,TUE,09,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,TUE,09,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,TUE,09,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,TUE,09,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,TUE,09,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,TUE,09,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,TUE,09,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,TUE,09,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,TUE,09,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,TUE,09,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,TUE,09,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,TUE,09,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,TUE,09,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,TUE,09,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,TUE,09,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,TUE,09,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,TUE,09,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,TUE,09,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,WED,09,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,WED,09,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,WED,09,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,WED,09,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,WED,09,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,WED,09,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,WED,09,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,WED,09,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,WED,09,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,WED,09,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,WED,09,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
1,6호선,신내역,648,20220930,20221229,616,새절역,648,신내역,647,봉화산역,1,0,WED,09,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,WED,09,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,WED,09,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,WED,09,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,WED,09,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,WED,09,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
2,6호선,신내역,648,20220930,20221229,626,공덕역,648,신내역,647,봉화산역,1,0,WED,09,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,WED,09,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,WED,09,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,WED,09,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,WED,09,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,WED,09,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
3,6호선,신내역,648,20220930,20221229,631,한강진역,648,신내역,647,봉화산역,1,0,WED,09,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,WED,09,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,WED,09,10,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,WED,09,20,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,WED,09,30,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,WED,09,40,"[13, 13, 13, 13, 13, 13, 13, 13]"
4,6호선,신내역,648,20220930,20221229,639,안암역,648,신내역,647,봉화산역,1,0,WED,09,50,"[13, 13, 13, 13, 13, 13, 13, 13]"
0,6호선,신내역,648,20220930,20221229,610,응암역,648,신내역,647,봉화산역,1,0,THU,18,00,"[13, 13, 13, 13, 13, 13, 13, 13]"
